season,name,mean_delta,placement_rank,placement_percent,Y_diff,actual_placement,category,delta_bin,Y_abs
5,Mark Cuban,0.011276553492263138,8,8,0,8,Neutral,"(0.00443, 0.0136]",0
5,Jane Seymour,0.0008207323061452705,7,6,-1,6,Neutral,"(-0.00476, 0.00443]",1
5,Cameron Mathison,-0.011545708407437018,6,5,-1,5,Neutral,"(-0.0139, -0.00476]",1
5,Jennie Garth,0.0006213762488001725,5,4,-1,4,Neutral,"(-0.00476, 0.00443]",1
5,Mel B,-0.010106773931324437,4,3,-1,2,Neutral,"(-0.0139, -0.00476]",1
5,Helio Castroneves,0.005336638452473579,3,2,-1,1,Neutral,"(0.00443, 0.0136]",1
5,Sabrina Bryan,-0.022518093612293014,2,7,5,7,Judge-Favored,"(-0.0231, -0.0139]",5
5,Marie Osmond,0.019922451420276592,1,1,0,3,Fan-Favored,"(0.0136, 0.0228]",0
6,Adam Carolla,-0.00634978029946566,12,9,-3,9,Neutral,"(-0.0139, -0.00476]",3
6,Monica Seles,-0.021382706855021454,11,11,0,11,Judge-Favored,"(-0.0231, -0.0139]",0
6,Steve Guttenberg,0.05530236263298307,10,10,0,10,Fan-Favored,"(0.0504, 0.0596]",0
6,Mario,-0.01612995198457729,9,5,-4,5,Judge-Favored,"(-0.0231, -0.0139]",4
6,Priscilla Presley,0.028727849799329453,8,8,0,8,Fan-Favored,"(0.0228, 0.032]",0
6,Marlee Matlin,0.008497052590152224,7,7,0,7,Neutral,"(0.00443, 0.0136]",0
6,Shannon Elizabeth,0.0032239657689387058,6,6,0,6,Neutral,"(-0.00476, 0.00443]",0
6,Marissa Jaret Winokur,0.012386956785459084,5,4,-1,4,Neutral,"(0.00443, 0.0136]",1
6,Cristian de la Fuente,-0.025641671483731997,4,3,-1,3,Judge-Favored,"(-0.0323, -0.0231]",1
6,Jason Taylor,-0.008865300205808321,3,12,9,2,Neutral,"(-0.0139, -0.00476]",9
6,Penn Jillette,0.010448742671067223,2,2,0,12,Neutral,"(0.00443, 0.0136]",0
6,Kristi Yamaguchi,0.0026797358449577773,1,1,0,1,Neutral,"(-0.00476, 0.00443]",0
7,Ted McGinley,-0.050953034422728014,13,1,-12,12,Judge-Favored,"(-0.0599, -0.0507]",12
7,Kim Kardashian,-0.002813891699121121,12,12,0,11,Neutral,"(-0.00476, 0.00443]",0
7,Cody Linley,-0.025376608209876042,11,11,0,4,Judge-Favored,"(-0.0323, -0.0231]",0
7,Rocco DiSpirito,-0.004049795265708717,10,10,0,9,Neutral,"(-0.00476, 0.00443]",0
7,Cloris Leachman,0.016190693373408824,9,8,-1,7,Fan-Favored,"(0.0136, 0.0228]",1
7,Susan Lucci,0.002185375982637992,8,2,-6,6,Neutral,"(-0.00476, 0.00443]",6
7,Lance Bass,-0.00789660043109853,7,3,-4,3,Neutral,"(-0.0139, -0.00476]",4
7,Maurice Greene,0.021384101877825048,6,6,0,5,Fan-Favored,"(0.0136, 0.0228]",0
7,Warren Sapp,-0.010863391690248608,5,7,2,2,Neutral,"(-0.0139, -0.00476]",2
7,Brooke Burke,0.012647134265206434,4,5,1,1,Neutral,"(0.00443, 0.0136]",1
7,Misty May-Treanor,0.024217315961676512,3,4,1,10,Fan-Favored,"(0.0228, 0.032]",1
7,Toni Braxton,0.0059439357520310486,2,9,7,8,Neutral,"(0.00443, 0.0136]",7
7,Jeffrey Ross,0.0006291335090660849,1,13,12,13,Neutral,"(-0.00476, 0.00443]",12
8,Ty Murray,-0.011454049413166795,13,13,0,4,Neutral,"(-0.0139, -0.00476]",0
8,Belinda Carlisle,-0.007764464416991655,12,12,0,13,Neutral,"(-0.0139, -0.00476]",0
8,Denise Richards,-0.020339417567897717,11,3,-8,12,Judge-Favored,"(-0.0231, -0.0139]",8
8,Steve Wozniak,0.06609878434228962,10,10,0,10,Fan-Favored,"(0.0596, 0.0687]",0
8,Steve-O,0.008264080611013148,9,11,2,8,Neutral,"(0.00443, 0.0136]",2
8,Lawrence Taylor,0.01444600795239434,8,7,-1,7,Fan-Favored,"(0.0136, 0.0228]",1
8,Lil' Kim,-0.014480452266331205,7,6,-1,5,Judge-Favored,"(-0.0231, -0.0139]",1
8,Chuck Wicks,-0.008134406198041216,6,8,2,6,Neutral,"(-0.0139, -0.00476]",2
8,Gilles Marini,-0.013612179445248148,5,5,0,2,Neutral,"(-0.0139, -0.00476]",0
8,Melissa Rycroft,0.009853172175319265,4,4,0,3,Neutral,"(0.00443, 0.0136]",0
8,Holly Madison,0.003499888113990343,3,2,-1,11,Neutral,"(-0.00476, 0.00443]",1
8,Shawn Johnson,0.0013784887738084969,2,1,-1,1,Neutral,"(-0.00476, 0.00443]",1
8,David Alan Grier,-0.0032857060099966777,1,9,8,9,Neutral,"(-0.00476, 0.00443]",8
9,Macy Gray,-0.029888570030895307,16,16,0,15,Judge-Favored,"(-0.0323, -0.0231]",0
9,Kathy Ireland,0.005563997762324836,15,15,0,14,Neutral,"(0.00443, 0.0136]",0
9,Debi Mazar,0.002488701938655582,14,14,0,12,Neutral,"(-0.00476, 0.00443]",0
9,Louie Vito,-0.004884782573294534,13,3,-10,8,Neutral,"(-0.0139, -0.00476]",10
9,Natalie Coughlin,-0.015504660210240698,12,12,0,10,Judge-Favored,"(-0.0231, -0.0139]",0
9,Melissa Joan Hart,-0.012256894451930914,11,11,0,9,Neutral,"(-0.0139, -0.00476]",0
9,Mark Dacascos,-0.01694504391743879,10,4,-6,6,Judge-Favored,"(-0.0231, -0.0139]",6
9,Aaron Carter,0.00844131813785114,9,9,0,5,Neutral,"(0.00443, 0.0136]",0
9,Donny Osmond,-0.002041304439899283,8,7,-1,1,Neutral,"(-0.00476, 0.00443]",1
9,Mya,-0.009265690036097897,7,6,-1,2,Neutral,"(-0.0139, -0.00476]",1
9,Chuck Liddell,0.008678784800913573,6,13,7,11,Neutral,"(0.00443, 0.0136]",7
9,Kelly Osbourne,0.026866916658874383,5,5,0,3,Fan-Favored,"(0.0228, 0.032]",0
9,Joanna Krupa,-0.005221300422579408,4,8,4,4,Neutral,"(-0.0139, -0.00476]",4
9,Michael Irvin,0.013308229887960208,3,10,7,7,Neutral,"(0.00443, 0.0136]",7
9,Tom DeLay,0.012053260358750146,2,2,0,13,Neutral,"(0.00443, 0.0136]",0
9,Ashley Hamiliton,-0.029887453309089804,1,1,0,16,Judge-Favored,"(-0.0323, -0.0231]",0
10,Buzz Aldrin,0.019148435994282707,11,9,-2,10,Fan-Favored,"(0.0136, 0.0228]",2
10,Kate Gosselin,0.021167030432037128,10,7,-3,8,Fan-Favored,"(0.0136, 0.0228]",3
10,Aiden Turner,0.005180548285494736,9,8,-1,9,Neutral,"(0.00443, 0.0136]",1
10,Jake Pavelka,0.021462069161355225,8,6,-2,7,Fan-Favored,"(0.0136, 0.0228]",2
10,Chad Ochocinco,-0.0001351636111884963,7,11,4,4,Neutral,"(-0.00476, 0.00443]",4
10,Niecy Nash,0.007334705408187906,6,4,-2,5,Neutral,"(0.00443, 0.0136]",2
10,Pamela Anderson,-0.013742305847291287,5,5,0,6,Neutral,"(-0.0139, -0.00476]",0
10,Evan Lysacek,0.006033802611271325,4,2,-2,2,Neutral,"(0.00443, 0.0136]",2
10,Nicole Scherzinger,-0.046784320437323626,3,3,0,1,Judge-Favored,"(-0.0507, -0.0415]",0
10,Erin Andrews,0.016819645242002974,2,1,-1,3,Fan-Favored,"(0.0136, 0.0228]",1
10,Shannen Doherty,-0.017365686123210607,1,10,9,11,Judge-Favored,"(-0.0231, -0.0139]",9
11,David Hasselhoff,-0.011999899583226822,12,12,0,12,Neutral,"(-0.0139, -0.00476]",0
11,Michael Bolton,0.009867628348908995,11,11,0,11,Neutral,"(0.00443, 0.0136]",0
11,Margaret Cho,0.010354183110814272,10,10,0,10,Neutral,"(0.00443, 0.0136]",0
11,The Situation,0.007538133456770627,9,9,0,9,Neutral,"(0.00443, 0.0136]",0
11,Florence Henderson,-0.006158318638783691,8,8,0,8,Neutral,"(-0.0139, -0.00476]",0
11,Bristol Palin,0.027375363555882975,7,2,-5,3,Fan-Favored,"(0.0228, 0.032]",5
11,Rick Fox,-0.005921841299954824,6,6,0,6,Neutral,"(-0.0139, -0.00476]",0
11,Kurt Warner,0.00792614341608578,5,5,0,5,Neutral,"(0.00443, 0.0136]",0
11,Brandy,-0.02701611105000048,4,4,0,4,Judge-Favored,"(-0.0323, -0.0231]",0
11,Kyle Massey,0.0015686475644010323,3,3,0,2,Neutral,"(-0.00476, 0.00443]",0
11,Audrina Patridge,-0.012911062487398157,2,7,5,7,Neutral,"(-0.0139, -0.00476]",5
11,Jennifer Grey,-0.0028943842137650042,1,1,0,1,Neutral,"(-0.00476, 0.00443]",0
12,Mike Catherwood,-0.035770782816355984,11,11,0,11,Judge-Favored,"(-0.0415, -0.0323]",0
12,Sugar Ray Leonard,-0.015105016827566872,10,8,-2,9,Judge-Favored,"(-0.0231, -0.0139]",2
12,Wendy Williams,0.017333032281980493,9,9,0,10,Fan-Favored,"(0.0136, 0.0228]",0
12,Kirstie Alley,0.008896090419647472,8,3,-5,2,Neutral,"(0.00443, 0.0136]",5
12,Petra Nemcova,-0.005871173453528486,7,10,3,8,Neutral,"(-0.0139, -0.00476]",3
12,Chris Jericho,-0.0010410065729286738,6,6,0,7,Neutral,"(-0.00476, 0.00443]",0
12,Romeo,-0.029072611837522147,5,5,0,5,Judge-Favored,"(-0.0323, -0.0231]",0
12,Ralph Macchio,0.00630859226770385,4,4,0,4,Neutral,"(0.00443, 0.0136]",0
12,Hines Ward,0.000426659669893667,3,2,-1,1,Neutral,"(-0.00476, 0.00443]",1
12,Kendra Wilkinson,0.01207069603209733,2,7,5,6,Neutral,"(0.00443, 0.0136]",5
12,Chelsea Kane,0.011364563397300022,1,1,0,3,Neutral,"(0.00443, 0.0136]",0
13,Metta World Peace (Ron),-0.01959468664944946,12,12,0,12,Judge-Favored,"(-0.0231, -0.0139]",0
13,David Arquette,-0.00967423948428727,11,6,-5,6,Neutral,"(-0.0139, -0.00476]",5
13,Kristin Cavallari,-0.015393096891934474,10,10,0,10,Judge-Favored,"(-0.0231, -0.0139]",0
13,Carson Kressley,0.002141519959523941,9,8,-1,8,Neutral,"(-0.00476, 0.00443]",1
13,Chaz Bono,0.0086772820513234,8,7,-1,7,Neutral,"(0.00443, 0.0136]",1
13,Hope Solo,-0.00014682746302736705,7,4,-3,4,Neutral,"(-0.00476, 0.00443]",3
13,Nancy Grace,0.008022396398296017,6,5,-1,5,Neutral,"(0.00443, 0.0136]",1
13,Rob Kardashian,0.011859097280714735,5,1,-4,2,Neutral,"(0.00443, 0.0136]",4
13,J.R. Martinez,-0.0036513923764803155,4,3,-1,1,Neutral,"(-0.00476, 0.00443]",1
13,Ricki Lake,0.00457701293028247,3,2,-1,3,Neutral,"(0.00443, 0.0136]",1
13,Chynna Phillips,-0.02513153901287668,2,9,7,9,Judge-Favored,"(-0.0323, -0.0231]",7
13,Elisabetta Canalis,-0.009728192351541494,1,11,10,11,Neutral,"(-0.0139, -0.00476]",10
14,Gavin DeGraw,0.016205595909225927,12,8,-4,9,Fan-Favored,"(0.0136, 0.0228]",4
14,Martina Navratilova,0.019759778766854003,11,11,0,12,Fan-Favored,"(0.0136, 0.0228]",0
14,Jack Wagner,0.005391572136719948,10,10,0,11,Neutral,"(0.00443, 0.0136]",0
14,Sherri Sheperd,-0.006007565107768158,9,9,0,10,Neutral,"(-0.0139, -0.00476]",0
14,Jaleel White,-0.022490164028940836,8,1,-7,7,Judge-Favored,"(-0.0231, -0.0139]",7
14,Gladys Knight,0.013856991586762473,7,7,0,8,Fan-Favored,"(0.0136, 0.0228]",0
14,Melissa Gilbert,-0.003928458796377682,6,6,0,5,Neutral,"(-0.00476, 0.00443]",0
14,Maria Menounos,-0.007199215067335295,5,12,7,4,Neutral,"(-0.0139, -0.00476]",7
14,Katherine Jenkins,0.006711416760474183,4,4,0,2,Neutral,"(0.00443, 0.0136]",0
14,William Levy,0.008620288652229125,3,3,0,3,Neutral,"(0.00443, 0.0136]",0
14,Donald Driver,0.01151573668214589,2,2,0,1,Neutral,"(0.00443, 0.0136]",0
14,Roshon Fegan,-0.026332076168546263,1,5,4,6,Judge-Favored,"(-0.0323, -0.0231]",4
15,Pamela Anderson,0.0009420112247662399,13,13,0,13,Neutral,"(-0.00476, 0.00443]",0
15,Kirstie Alley,-0.027585614886880598,12,9,-3,7,Judge-Favored,"(-0.0323, -0.0231]",3
15,Drew Lachey,-0.02114227168787557,11,11,0,11,Judge-Favored,"(-0.0231, -0.0139]",0
15,Bristol Palin,0.01337906441625911,10,10,0,9,Fan-Favored,"(0.00443, 0.0136]",0
15,Emmitt Smith,-0.00506000108589515,9,5,-4,4,Neutral,"(-0.0139, -0.00476]",4
15,Gilles Marini,-0.017430865439060056,8,7,-1,6,Judge-Favored,"(-0.0231, -0.0139]",1
15,Apolo Anton Ohno,-0.003988004373501287,7,2,-5,5,Neutral,"(-0.00476, 0.00443]",5
15,Kelly Monaco,0.034300743261302426,6,6,0,3,Fan-Favored,"(0.032, 0.0412]",0
15,Melissa Rycroft,-0.007392247502052198,5,4,-1,1,Neutral,"(-0.0139, -0.00476]",1
15,Helio Castroneves,-0.03677314356062465,4,3,-1,10,Judge-Favored,"(-0.0415, -0.0323]",1
15,Sabrina Bryan,-0.006687820604546414,3,8,5,8,Neutral,"(-0.0139, -0.00476]",5
15,Joey Fatone,-0.012074451369656007,2,12,10,12,Neutral,"(-0.0139, -0.00476]",10
15,Shawn Johnson,0.03560427373718762,1,1,0,2,Fan-Favored,"(0.032, 0.0412]",0
16,D. L. Hughley,0.0025178423966063664,12,8,-4,9,Neutral,"(-0.00476, 0.00443]",4
16,Lisa Vanderpump,-0.012043139873192318,11,11,0,10,Neutral,"(-0.0139, -0.00476]",0
16,Ingo Rademacher,-0.012012309522345513,10,6,-4,5,Neutral,"(-0.0139, -0.00476]",4
16,Andy Dick,0.024128885061182718,9,9,0,7,Fan-Favored,"(0.0228, 0.032]",0
16,Alexandra Raisman,-0.03140685655173421,8,3,-5,4,Judge-Favored,"(-0.0323, -0.0231]",5
16,Victor Ortiz,0.0175628670088357,7,7,0,8,Fan-Favored,"(0.0136, 0.0228]",0
16,Jacoby Jones,0.00690321965579941,6,5,-1,3,Neutral,"(0.00443, 0.0136]",1
16,Sean Lowe,-0.01487825271739454,5,12,7,6,Judge-Favored,"(-0.0231, -0.0139]",7
16,Zendaya,-0.008652246118040437,4,2,-2,2,Neutral,"(-0.0139, -0.00476]",2
16,Wynonna Judd,-0.00851786234409869,3,10,7,11,Neutral,"(-0.0139, -0.00476]",7
16,Kellie Pickler,0.01345677343704812,2,4,2,1,Fan-Favored,"(0.00443, 0.0136]",2
16,Dorothy Hamill,0.10549272013513691,1,1,0,12,Fan-Favored,"(0.0963, 0.105]",0
17,Keyshawn Johnson,-0.01027132678681221,12,11,-1,12,Neutral,"(-0.0139, -0.00476]",1
17,Bill Nye,0.020403035519574095,11,10,-1,11,Fan-Favored,"(0.0136, 0.0228]",1
17,Valerie Harper,0.029449807966373046,10,9,-1,10,Fan-Favored,"(0.0228, 0.032]",1
17,Bill Engvall,0.020250568671523257,9,4,-5,4,Fan-Favored,"(0.0136, 0.0228]",5
17,Amber Riley,0.005722667962473191,8,1,-7,1,Neutral,"(0.00443, 0.0136]",7
17,Corbin Bleu,-0.02440345941379839,7,7,0,2,Judge-Favored,"(-0.0323, -0.0231]",0
17,"Nicole ""Snooki"" Polizzi",-0.021756487492031944,6,8,2,8,Judge-Favored,"(-0.0231, -0.0139]",2
17,Brant Daugherty,0.020922257448423246,5,5,0,7,Fan-Favored,"(0.0136, 0.0228]",0
17,Leah Remini,-0.0031243195349740954,4,3,-1,5,Neutral,"(-0.00476, 0.00443]",1
17,Jack Osbourne,0.0066618531219429875,3,2,-1,3,Neutral,"(0.00443, 0.0136]",1
17,Christina Milian,-0.029608590440308048,2,12,10,9,Judge-Favored,"(-0.0323, -0.0231]",10
17,Elizabeth Berkley Lauren,-0.009423346467336198,1,6,5,6,Neutral,"(-0.0139, -0.00476]",5
18,Diana Nyad,-0.05755664294510438,12,12,0,12,Judge-Favored,"(-0.0599, -0.0507]",0
18,Sean Avery,0.024518237076502934,11,11,0,11,Fan-Favored,"(0.0228, 0.032]",0
18,Drew Carey,-0.02864493644788223,10,10,0,8,Judge-Favored,"(-0.0323, -0.0231]",0
18,Cody Simpson,-0.029129334041298062,9,9,0,9,Judge-Favored,"(-0.0323, -0.0231]",0
18,Candace Cameron Bure,0.027397538077568284,8,8,0,3,Fan-Favored,"(0.0228, 0.032]",0
18,NeNe Leakes,0.013295706337619503,7,7,0,7,Neutral,"(0.00443, 0.0136]",0
18,Charlie White,0.014871358930253122,6,6,0,5,Fan-Favored,"(0.0136, 0.0228]",0
18,James Maslow,-0.009441394907210998,5,4,-1,4,Neutral,"(-0.0139, -0.00476]",1
18,Amy Purdy,0.0061438571302936396,4,3,-1,2,Neutral,"(0.00443, 0.0136]",1
18,Danica McKellar,-0.016172256437546734,3,5,2,6,Judge-Favored,"(-0.0231, -0.0139]",2
18,Billy Dee Williams,0.04870402761425628,2,2,0,10,Fan-Favored,"(0.0412, 0.0504]",0
18,Meryl Davis,-0.010990572378438281,1,1,0,1,Neutral,"(-0.0139, -0.00476]",0
19,Lolo Jones,-0.015803471443216963,13,13,0,13,Judge-Favored,"(-0.0231, -0.0139]",0
19,Tavis Smiley,-0.020355911783835032,12,12,0,12,Judge-Favored,"(-0.0231, -0.0139]",0
19,Randy Couture,0.004889353360989085,11,11,0,11,Neutral,"(0.00443, 0.0136]",0
19,Betsey Johnson,0.010301686733376206,10,10,0,10,Neutral,"(0.00443, 0.0136]",0
19,Jonathan Bennett,-0.006484568444342346,9,9,0,9,Neutral,"(-0.0139, -0.00476]",0
19,Antonio Sabato Jr.,-0.0035121181987298467,8,8,0,8,Neutral,"(-0.00476, 0.00443]",0
19,Michael Waltrip,0.022173593636113077,7,7,0,7,Fan-Favored,"(0.0136, 0.0228]",0
19,Tommy Chong,0.017247844186737662,6,6,0,5,Fan-Favored,"(0.0136, 0.0228]",0
19,Lea Thompson,-0.008241300671669184,5,5,0,6,Neutral,"(-0.0139, -0.00476]",0
19,Sadie Robertson,-0.014173248504585644,4,4,0,2,Neutral,"(-0.0231, -0.0139]",0
19,Bethany Mota,-0.0034505081382972033,3,3,0,4,Neutral,"(-0.00476, 0.00443]",0
19,Alfonso Ribeiro,0.007259205865284991,2,2,0,1,Neutral,"(0.00443, 0.0136]",0
19,Janel Parrish,-0.008868427300555272,1,1,0,3,Neutral,"(-0.0139, -0.00476]",0
20,Charlotte McKinney,-0.006004862001074418,12,12,0,11,Neutral,"(-0.0139, -0.00476]",0
20,Suzanne Somers,-0.0002070241727431782,11,8,-3,9,Neutral,"(-0.00476, 0.00443]",3
20,Patti LaBelle,-0.005801225521255722,10,10,0,8,Neutral,"(-0.0139, -0.00476]",0
20,Michael Sam,-0.010567377350615532,9,9,0,10,Neutral,"(-0.0139, -0.00476]",0
20,Noah Galloway,0.004343730476112316,8,3,-5,3,Neutral,"(-0.00476, 0.00443]",5
20,Robert Herjavec,0.008313445996062633,7,5,-2,6,Neutral,"(0.00443, 0.0136]",2
20,Chris Soules,0.011681072482838091,6,6,0,5,Neutral,"(0.00443, 0.0136]",0
20,Nastia Liukin,-0.028213628629861043,5,4,-1,4,Judge-Favored,"(-0.0323, -0.0231]",1
20,Riker Lynch,-0.011425325800874252,4,1,-3,2,Neutral,"(-0.0139, -0.00476]",3
20,Willow Shields,-0.002677409373622997,3,7,4,7,Neutral,"(-0.00476, 0.00443]",4
20,Redfoo,0.017163946167468035,2,11,9,12,Fan-Favored,"(0.0136, 0.0228]",9
20,Rumer Willis,0.024532300576252025,1,2,1,1,Fan-Favored,"(0.0228, 0.032]",1
21,Victor Espinoza,-0.01796084999941243,13,13,0,12,Judge-Favored,"(-0.0231, -0.0139]",0
21,Kim Zolciak-Biermann,0.045172084152810925,12,1,-11,11,Fan-Favored,"(0.0412, 0.0504]",11
21,Gary Busey,-0.0005681530878259861,11,10,-1,10,Neutral,"(-0.00476, 0.00443]",1
21,Paula Deen,0.019963895649457993,10,8,-2,9,Fan-Favored,"(0.0136, 0.0228]",2
21,Tamar Braxton,0.012858351407492292,9,9,0,5,Neutral,"(0.00443, 0.0136]",0
21,Hayes Grier,0.023668654016197627,8,7,-1,8,Fan-Favored,"(0.0228, 0.032]",1
21,Alek Skarlatos,-0.0024857673823787422,7,11,4,3,Neutral,"(-0.00476, 0.00443]",4
21,Andy Grammer,-0.005072358431082091,6,6,0,7,Neutral,"(-0.0139, -0.00476]",0
21,Carlos PenaVega,-0.019155005798640237,5,3,-2,4,Judge-Favored,"(-0.0231, -0.0139]",2
21,Nick Carter,-0.005805260423411274,4,4,0,2,Neutral,"(-0.0139, -0.00476]",0
21,Alexa PenaVega,0.0006455910728168492,3,5,2,6,Neutral,"(-0.00476, 0.00443]",2
21,Bindi Irwin,-0.012529199701760568,2,2,0,1,Neutral,"(-0.0139, -0.00476]",0
21,Chaka Khan,0.010578571764173247,1,12,11,13,Neutral,"(0.00443, 0.0136]",11
22,Geraldo Rivera,-0.0027782118947383243,12,11,-1,12,Neutral,"(-0.00476, 0.00443]",1
22,Antonio Brown,-0.004946767094865876,11,4,-7,5,Neutral,"(-0.0139, -0.00476]",7
22,Doug Flutie,0.027736912897139906,10,7,-3,9,Fan-Favored,"(0.0228, 0.032]",3
22,Marla Maples,-0.0011009417851335773,9,9,0,10,Neutral,"(-0.00476, 0.00443]",0
22,Kim Fields,-0.02160682947075021,8,8,0,8,Judge-Favored,"(-0.0231, -0.0139]",0
22,Von Miller,-0.016934593552303995,7,6,-1,7,Judge-Favored,"(-0.0231, -0.0139]",1
22,Jodie Sweetin,-0.005070835219307441,6,12,6,6,Neutral,"(-0.0139, -0.00476]",6
22,Wanya Morris,-0.030126520126354934,5,5,0,4,Judge-Favored,"(-0.0323, -0.0231]",0
22,Paige VanZant,-4.215704789107821e-05,4,2,-2,2,Neutral,"(-0.00476, 0.00443]",2
22,Nyle DiMarco,0.015264804316070751,3,3,0,1,Fan-Favored,"(0.0136, 0.0228]",0
22,Mischa Barton,0.04834933068166189,2,10,8,11,Fan-Favored,"(0.0412, 0.0504]",8
22,Ginger Zee,0.017228047672721125,1,1,0,3,Fan-Favored,"(0.0136, 0.0228]",0
23,Rick Perry,0.005958993339981344,13,11,-2,12,Neutral,"(0.00443, 0.0136]",2
23,Jake T. Austin,0.016659779751943077,12,12,0,13,Fan-Favored,"(0.0136, 0.0228]",0
23,Ryan Lochte,-0.0008102636272908203,11,13,2,7,Neutral,"(-0.00476, 0.00443]",2
23,Babyface,0.004649724288849563,10,10,0,11,Neutral,"(0.00443, 0.0136]",0
23,Calvin Johnson Jr.,-0.003438023963860998,9,1,-8,3,Neutral,"(-0.00476, 0.00443]",8
23,Amber Rose,-0.00562588718263833,8,8,0,9,Neutral,"(-0.0139, -0.00476]",0
23,Maureen McCormick,0.01255376589041845,7,7,0,8,Neutral,"(0.00443, 0.0136]",0
23,Marilu Henner,-0.016354475252753464,6,6,0,6,Judge-Favored,"(-0.0231, -0.0139]",0
23,James Hinchcliffe,0.0016456828318436312,5,5,0,2,Neutral,"(-0.00476, 0.00443]",0
