name,season,placement,avg_abs_gap,max_gap,weighted_gap,weeks_lowest_judge,total_weeks,mean_delta,controversy_type,is_specified
Chuck Liddell,9,11,3.625,5.5,1.875,0,4,2.625,fan-favored,False
Debi Mazar,9,12,5.0,7.5,2.777777777777778,0,3,0.0,neutral,False
Donny Osmond,9,1,2.1,8.0,0.8800000000000001,2,10,-0.9,neutral,False
Joanna Krupa,9,4,2.9444444444444446,5.5,1.3580246913580245,0,9,-1.0555555555555556,judge-favored,False
Kelly Osbourne,9,3,3.85,9.0,1.5,1,10,1.15,fan-favored,False
Louie Vito,9,8,2.75,5.5,1.4305555555555554,1,6,2.4166666666666665,fan-favored,False
Mark Dacascos,9,6,3.2857142857142856,8.0,1.2857142857142858,1,7,-2.4285714285714284,judge-favored,False
Melissa Joan Hart,9,9,2.6666666666666665,6.5,1.1944444444444444,0,6,0.16666666666666666,neutral,False
Michael Irvin,9,7,5.857142857142857,12.0,3.204081632653061,4,7,5.571428571428571,fan-favored,False
Mya,9,2,4.4,9.0,1.5500000000000003,0,10,-3.6,judge-favored,False
Natalie Coughlin,9,10,3.9,7.0,2.2399999999999998,0,5,-3.9,judge-favored,False
Tom DeLay,9,13,2.6666666666666665,4.5,1.6111111111111114,1,3,2.6666666666666665,fan-favored,False
Aiden Turner,10,9,3.125,5.0,1.59375,0,4,2.625,fan-favored,False
Buzz Aldrin,10,10,4.333333333333333,7.0,3.111111111111111,3,3,4.333333333333333,fan-favored,False
Chad Ochocinco,10,4,2.2222222222222223,6.5,0.7901234567901234,1,9,0.8888888888888888,neutral,False
Erin Andrews,10,3,2.3,6.5,1.125,0,10,0.2,neutral,False
Evan Lysacek,10,2,2.35,9.0,0.9,1,10,-1.45,judge-favored,False
Jake Pavelka,10,7,2.75,5.5,1.3055555555555556,1,6,0.75,neutral,False
Kate Gosselin,10,8,3.6,6.0,2.4799999999999995,2,5,3.6,fan-favored,False
Nicole Scherzinger,10,1,4.45,9.0,1.955,0,10,-4.45,judge-favored,False
Niecy Nash,10,5,2.3125,5.5,1.2421875,2,8,1.5625,fan-favored,False
Pamela Anderson,10,6,2.7142857142857144,6.5,1.1224489795918366,0,7,-1.0,neutral,False
Audrina Patridge,11,7,2.9166666666666665,6.0,1.9027777777777777,0,6,-2.0833333333333335,judge-favored,False
Brandy,11,4,2.8333333333333335,6.0,1.617283950617284,0,9,-1.8333333333333333,judge-favored,False
Bristol Palin,11,3,3.2,6.5,1.515,5,10,2.7,fan-favored,True
Florence Henderson,11,8,3.0,4.5,1.52,0,5,-1.2,judge-favored,False
Jennifer Grey,11,1,1.8,6.0,0.595,0,10,-1.1,judge-favored,False
Kurt Warner,11,5,2.3125,5.0,1.2421875,1,8,0.9375,neutral,False
Kyle Massey,11,2,2.25,4.0,1.1300000000000001,0,10,-0.25,neutral,False
Margaret Cho,11,10,3.1666666666666665,5.5,1.8888888888888886,2,3,3.1666666666666665,fan-favored,False
Rick Fox,11,6,1.7857142857142858,2.5,1.1122448979591837,0,7,-0.21428571428571427,neutral,False
The Situation,11,9,2.75,6.5,1.40625,2,4,1.5,fan-favored,False
Chelsea Kane,12,3,1.85,5.5,0.66,0,10,0.35,neutral,False
Chris Jericho,12,7,1.5833333333333333,3.0,0.8194444444444443,1,6,-0.9166666666666666,neutral,False
Hines Ward,12,1,2.35,6.5,1.025,0,10,-1.65,judge-favored,False
Kendra Wilkinson,12,6,3.142857142857143,7.0,1.6326530612244898,2,7,2.2857142857142856,fan-favored,False
Kirstie Alley,12,2,1.45,4.0,0.635,2,10,0.65,neutral,False
Petra Nemcova,12,8,2.9,7.5,1.64,1,5,-1.9,judge-favored,False
Ralph Macchio,12,4,2.888888888888889,6.0,1.2901234567901234,3,9,0.5555555555555556,neutral,False
Romeo,12,5,2.5,8.0,0.9296875,1,8,-2.0,judge-favored,False
Sugar Ray Leonard,12,9,1.875,4.5,1.21875,1,4,1.875,fan-favored,False
Wendy Williams,12,10,3.0,5.0,1.5555555555555556,2,3,3.0,fan-favored,False
Carson Kressley,13,8,2.2,5.5,0.86,2,5,2.2,fan-favored,False
Chaz Bono,13,7,2.4166666666666665,6.0,1.0138888888888888,3,6,1.5833333333333333,fan-favored,False
Chynna Phillips,13,9,5.375,9.5,2.6875,0,4,-5.375,judge-favored,False
David Arquette,13,6,1.7857142857142858,3.5,0.9591836734693876,0,7,-1.6428571428571428,judge-favored,False
Hope Solo,13,4,2.3333333333333335,7.0,1.0123456790123457,1,9,1.2222222222222223,fan-favored,False
J.R. Martinez,13,1,1.2,3.5,0.58,0,10,-0.9,neutral,False
Kristin Cavallari,13,10,4.0,4.5,2.7222222222222228,0,3,-4.0,judge-favored,False
Nancy Grace,13,5,3.5,6.5,1.5390625,2,8,2.75,fan-favored,False
Ricki Lake,13,3,2.15,6.0,0.845,1,10,-0.75,neutral,False
Rob Kardashian,13,2,1.85,4.0,0.8550000000000001,0,10,0.95,neutral,False
Donald Driver,14,1,2.35,8.0,1.085,1,10,-0.15,neutral,False
Gavin DeGraw,14,9,4.3,8.0,2.52,3,5,4.3,fan-favored,False
Gladys Knight,14,8,2.75,5.0,1.4305555555555556,3,6,2.75,fan-favored,False
Jack Wagner,14,11,3.0,5.5,2.0555555555555554,1,3,0.6666666666666666,neutral,False
Jaleel White,14,7,3.857142857142857,9.5,1.6938775510204083,0,7,-2.142857142857143,judge-favored,False
Katherine Jenkins,14,2,2.7,5.5,1.46,1,10,-1.5,judge-favored,False
Maria Menounos,14,4,2.6666666666666665,7.5,1.2345679012345678,0,9,-0.6666666666666666,neutral,False
Melissa Gilbert,14,5,2.75,9.0,1.03125,4,8,2.5,fan-favored,False
Roshon Fegan,14,6,3.125,7.5,1.4375,0,8,-2.0,judge-favored,False
Sherri Sheperd,14,10,2.125,3.0,1.21875,1,4,-0.625,neutral,False
William Levy,14,3,2.7,8.5,1.0,1,10,-1.1,judge-favored,False
Apolo Anton Ohno,15,5,2.2777777777777777,4.5,1.3024691358024691,0,9,-0.16666666666666666,neutral,False
Bristol Palin,15,9,5.5,11.0,3.0,2,4,5.0,fan-favored,False
Drew Lachey,15,11,1.5,3.0,0.7222222222222222,0,3,-0.8333333333333334,neutral,False
Emmitt Smith,15,4,2.0,5.0,0.9259259259259258,2,9,0.2222222222222222,neutral,False
Gilles Marini,15,6,2.5625,7.0,1.28125,0,8,-0.9375,neutral,False
Helio Castroneves,15,10,5.5,6.0,3.611111111111111,0,3,-5.5,judge-favored,False
Kelly Monaco,15,3,2.65,7.0,1.205,1,10,1.95,fan-favored,False
Kirstie Alley,15,7,1.375,3.5,0.6171875,3,8,1.0,neutral,False
Melissa Rycroft,15,1,2.3,8.0,1.0,0,10,-0.5,neutral,False
Sabrina Bryan,15,8,2.8333333333333335,6.5,1.986111111111111,0,6,-2.5,judge-favored,False
Shawn Johnson,15,2,2.25,6.0,1.06,1,10,-0.05,neutral,False
Alexandra Raisman,16,4,3.7,9.0,1.6099999999999999,0,10,-3.4,judge-favored,False
Andy Dick,16,7,3.4285714285714284,5.0,1.7040816326530612,2,7,2.4285714285714284,fan-favored,False
D. L. Hughley,16,9,2.0,3.0,0.9,2,5,1.6,fan-favored,False
Ingo Rademacher,16,5,2.388888888888889,5.5,0.9506172839506173,1,9,-0.9444444444444444,neutral,False
Jacoby Jones,16,3,1.65,3.0,1.035,1,10,0.85,neutral,False
Kellie Pickler,16,1,1.55,2.5,0.8400000000000001,0,10,-0.25,neutral,False
Lisa Vanderpump,16,10,1.875,3.0,1.0625,1,4,0.875,neutral,False
Sean Lowe,16,6,2.3125,5.0,1.046875,1,8,-0.8125,neutral,False
Victor Ortiz,16,8,3.9166666666666665,6.5,2.138888888888889,2,6,3.9166666666666665,fan-favored,False
Wynonna Judd,16,11,2.0,3.0,1.5555555555555554,1,3,1.3333333333333333,fan-favored,False
Zendaya,16,2,3.2,7.5,1.455,0,10,-2.5,judge-favored,False
Amber Riley,17,1,2.227272727272727,6.0,1.1074380165289257,0,11,-0.9545454545454546,neutral,False
Bill Engvall,17,4,3.3181818181818183,7.0,1.7520661157024795,6,11,3.3181818181818183,fan-favored,False
Bill Nye,17,11,3.5,8.0,1.5,3,3,3.1666666666666665,fan-favored,False
Brant Daugherty,17,7,3.3125,7.5,1.484375,0,8,1.8125,fan-favored,False
Christina Milian,17,9,4.9,7.5,2.98,0,5,-4.9,judge-favored,False
Corbin Bleu,17,2,2.5,5.5,1.3553719008264464,0,11,-2.5,judge-favored,False
Elizabeth Berkley Lauren,17,6,3.2777777777777777,8.5,1.3209876543209877,0,9,-2.1666666666666665,judge-favored,False
Jack Osbourne,17,3,1.5909090909090908,5.0,0.7479338842975206,0,11,0.8636363636363636,neutral,False
Leah Remini,17,5,1.8,6.0,0.8699999999999999,1,10,0.4,neutral,False
"Nicole ""Snooki"" Polizzi",17,8,3.5714285714285716,6.5,1.7653061224489794,0,7,-1.7142857142857142,judge-favored,False
Valerie Harper,17,10,4.75,9.0,2.3125,2,4,4.75,fan-favored,False
Amy Purdy,18,2,1.9,6.0,1.0399999999999998,0,10,-1.6,judge-favored,False
Candace Cameron Bure,18,3,4.0,7.5,2.0,5,10,3.0,fan-favored,False
Charlie White,18,5,2.4444444444444446,7.0,1.1419753086419753,0,9,-0.2222222222222222,neutral,False
Cody Simpson,18,9,1.2,3.0,0.64,0,5,0.0,neutral,False
Danica McKellar,18,6,2.625,6.0,1.0234375,0,8,-2.0,judge-favored,False
Drew Carey,18,8,1.0833333333333333,2.5,0.6944444444444445,3,6,-0.25,neutral,False
James Maslow,18,4,2.4,4.5,0.99,1,10,-1.0,neutral,False
Meryl Davis,18,1,2.55,7.0,1.125,1,10,-1.85,judge-favored,False
NeNe Leakes,18,7,2.642857142857143,5.0,1.0918367346938775,1,7,1.7857142857142858,fan-favored,False
Alfonso Ribeiro,19,1,2.727272727272727,10.0,0.7851239669421486,0,11,-1.6363636363636365,judge-favored,False
Antonio Sabato Jr.,19,8,1.7857142857142858,6.5,0.6326530612244898,1,7,0.35714285714285715,neutral,False
Bethany Mota,19,4,2.727272727272727,6.5,1.0330578512396693,1,11,-1.6363636363636365,judge-favored,False
Betsey Johnson,19,10,4.375,8.0,2.03125,1,4,2.875,fan-favored,False
Janel Parrish,19,3,1.7727272727272727,4.0,0.6983471074380166,0,11,-1.0454545454545454,judge-favored,False
Jonathan Bennett,19,9,3.4166666666666665,6.0,2.0555555555555554,1,6,0.5833333333333334,neutral,False
Lea Thompson,19,6,2.1666666666666665,4.5,1.0493827160493825,0,9,-0.6111111111111112,neutral,False
Michael Waltrip,19,7,4.3125,9.0,2.0859375,4,8,4.3125,fan-favored,False
Randy Couture,19,11,1.5,3.0,0.7777777777777777,1,3,1.1666666666666667,fan-favored,False
Sadie Robertson,19,2,2.590909090909091,7.0,1.0495867768595042,0,11,-2.0454545454545454,judge-favored,False
Tommy Chong,19,5,3.2,8.0,1.2,3,10,2.8,fan-favored,False
Charlotte McKinney,20,11,3.3333333333333335,9.0,2.2222222222222223,2,3,3.0,fan-favored,False
Chris Soules,20,5,4.0,9.0,1.765625,3,8,3.75,fan-favored,False
Michael Sam,20,10,3.25,5.0,2.0,0,4,0.0,neutral,False
Nastia Liukin,20,4,3.5555555555555554,10.0,1.425925925925926,0,9,-3.111111111111111,judge-favored,False
Noah Galloway,20,3,2.1,6.0,0.985,2,10,1.0,neutral,False
Patti LaBelle,20,8,2.25,4.5,1.3888888888888886,1,6,0.75,neutral,False
Riker Lynch,20,2,2.5,6.0,1.0599999999999998,0,10,-2.1,judge-favored,False
Robert Herjavec,20,6,1.8125,4.0,1.2734375,4,8,1.5625,fan-favored,False
Rumer Willis,20,1,3.5,6.0,1.4150000000000003,0,10,-1.7,judge-favored,False
Suzanne Somers,20,9,2.4,3.5,1.58,0,5,0.0,neutral,False
Willow Shields,20,7,3.2142857142857144,8.0,1.7551020408163267,0,7,-0.35714285714285715,neutral,False
Alek Skarlatos,21,3,3.772727272727273,6.5,1.6983471074380168,2,11,0.4090909090909091,neutral,False
Alexa PenaVega,21,6,2.5555555555555554,4.5,1.4506172839506173,0,9,0.1111111111111111,neutral,False
Andy Grammer,21,7,1.1875,4.0,0.7265625,1,8,0.4375,neutral,False
Bindi Irwin,21,1,3.727272727272727,11.0,1.3636363636363635,0,11,-3.1818181818181817,judge-favored,False
Carlos PenaVega,21,4,3.3181818181818183,9.5,1.3181818181818181,0,11,-2.590909090909091,judge-favored,False
Gary Busey,21,10,2.0,5.0,1.0625,1,4,1.5,fan-favored,False
Hayes Grier,21,8,3.5714285714285716,6.5,1.9489795918367345,0,7,1.2857142857142858,fan-favored,False
Nick Carter,21,2,3.272727272727273,7.5,1.384297520661157,1,11,-0.5454545454545454,neutral,False
Paula Deen,21,9,4.333333333333333,5.0,2.555555555555556,3,6,4.333333333333333,fan-favored,False
Tamar Braxton,21,5,1.8333333333333333,6.0,1.1728395061728394,1,9,0.2777777777777778,neutral,False
Antonio Brown,22,5,1.8333333333333333,4.0,1.0185185185185186,2,9,1.7222222222222223,fan-favored,False
Doug Flutie,22,9,4.5,10.0,2.263888888888889,2,6,4.5,fan-favored,False
Ginger Zee,22,3,2.9,6.5,1.515,1,10,-0.7,neutral,False
Jodie Sweetin,22,6,4.8125,8.5,2.484375,1,8,-0.6875,neutral,False
Kim Fields,22,8,2.7142857142857144,6.5,1.2857142857142858,0,7,0.7142857142857143,neutral,False
Marla Maples,22,10,2.625,4.5,1.5,0,4,0.375,neutral,False
Mischa Barton,22,11,8.333333333333334,10.0,5.4444444444444455,1,3,8.333333333333334,fan-favored,False
Nyle DiMarco,22,1,2.0,5.0,0.9400000000000001,0,10,-1.1,judge-favored,False
Paige VanZant,22,2,3.0,7.5,1.19,0,10,-2.2,judge-favored,False
Von Miller,22,7,1.9285714285714286,7.0,1.0510204081632653,0,7,0.07142857142857142,neutral,False
Wanya Morris,22,4,3.7777777777777777,8.0,1.7901234567901234,1,9,-3.5555555555555554,judge-favored,False
Amber Rose,23,9,1.25,2.5,0.6666666666666666,2,6,0.75,neutral,False
Babyface,23,11,4.875,8.0,3.53125,1,4,1.625,fan-favored,False
Calvin Johnson Jr.,23,3,2.409090909090909,7.0,0.9710743801652892,2,11,-0.8636363636363636,neutral,False
James Hinchcliffe,23,2,2.272727272727273,4.5,1.2603305785123966,1,11,-1.4545454545454546,judge-favored,False
Jana Kramer,23,4,2.3636363636363638,6.0,1.0743801652892562,1,11,0.18181818181818182,neutral,False
Laurie Hernandez,23,1,2.090909090909091,6.0,0.7272727272727273,0,11,-1.4545454545454546,judge-favored,False
Marilu Henner,23,6,3.0,8.5,1.1234567901234567,3,9,-1.6666666666666667,judge-favored,False
Maureen McCormick,23,8,2.857142857142857,6.5,1.836734693877551,1,7,2.0,fan-favored,False
Rick Perry,23,12,4.166666666666667,8.0,2.611111111111111,3,3,4.166666666666667,fan-favored,False
Ryan Lochte,23,7,2.875,5.5,1.5859375,1,8,0.75,neutral,False
Terra Jole,23,5,2.4,6.0,1.23,0,10,-1.1,judge-favored,False
Vanilla Ice,23,10,3.625,5.5,1.9375,1,4,3.625,fan-favored,False
Bonner Bolton,24,5,4.9375,9.0,2.328125,3,8,4.9375,fan-favored,False
Charo,24,11,1.8333333333333333,2.5,1.1111111111111112,1,3,-0.16666666666666666,neutral,False
David Ross,24,2,2.6,5.0,1.55,3,10,1.4,fan-favored,False
Erika Jayne,24,9,2.8,6.5,1.34,0,5,1.0,neutral,False
Heather Morris,24,8,4.0,7.0,2.694444444444444,0,6,-4.0,judge-favored,False
Mr. T,24,10,0.875,2.0,0.375,3,4,0.875,neutral,False
Nancy Kerrigan,24,7,2.2142857142857144,4.5,1.2959183673469385,0,7,-1.3571428571428572,judge-favored,False
Nick Viall,24,6,3.7857142857142856,7.5,1.8877551020408163,1,7,2.7857142857142856,fan-favored,False
Normani,24,3,1.5,3.5,0.74,0,10,-0.4,neutral,False
Rashad Jennings,24,1,2.45,4.5,1.18,0,10,-1.35,judge-favored,False
Simone Biles,24,4,3.388888888888889,6.0,1.3641975308641974,0,9,-3.388888888888889,judge-favored,False
Derek Fisher,25,11,4.625,7.5,2.1875,0,4,2.625,fan-favored,False
Drew Scott,25,4,3.05,5.5,1.565,3,10,1.75,fan-favored,False
Frankie Muniz,25,3,2.6,7.5,1.135,0,10,-0.5,neutral,False
Jordan Fisher,25,1,3.1,8.5,1.2700000000000002,0,10,-2.4,judge-favored,False
Lindsey Stirling,25,2,3.45,7.0,1.7850000000000001,0,10,-3.45,judge-favored,False
Nick Lachey,25,9,4.083333333333333,9.0,2.2222222222222223,3,6,4.083333333333333,fan-favored,False
Nikki Bella,25,8,2.142857142857143,4.5,1.2755102040816326,1,7,-0.2857142857142857,neutral,False
Sasha Pieterse,25,10,1.9,2.5,1.1800000000000002,1,5,-0.1,neutral,False
Terrell Owens,25,6,4.4375,9.0,1.8359375,0,8,3.1875,fan-favored,False
Vanessa Lachey,25,7,4.214285714285714,6.5,2.377551020408163,0,7,0.5,neutral,False
Victoria Arlen,25,5,2.7777777777777777,7.0,1.4753086419753088,0,9,-1.0,neutral,False
Adam Rippon,26,1,1.875,2.5,1.3125,0,4,-1.625,judge-favored,False
Chris Mazdzer,26,5,0.8333333333333334,1.5,0.6666666666666666,0,3,0.16666666666666666,neutral,False
Jennie Finch Daigle,26,6,2.5,4.5,1.8888888888888886,1,3,2.5,fan-favored,False
Josh Norman,26,2,0.875,1.5,0.625,0,4,-0.125,neutral,False
Mirai Nagasu,26,4,0.6666666666666666,1.5,0.3888888888888889,0,3,-0.3333333333333333,neutral,False
Tonya Harding,26,3,1.25,3.5,0.71875,1,4,1.0,neutral,False
Alexis Ren,27,4,2.5,8.5,0.7469135802469136,0,9,-1.8333333333333333,judge-favored,False
Bobby Bones,27,1,3.1666666666666665,7.0,1.3641975308641976,2,9,3.1666666666666665,fan-favored,True
DeMarcus Ware,27,7,3.0714285714285716,4.5,1.540816326530612,0,7,-0.5,neutral,False
Evanna Lynch,27,3,1.3888888888888888,4.0,0.6790123456790124,0,9,-0.9444444444444444,neutral,False
Joe Amabile,27,6,4.375,8.0,2.109375,6,8,4.25,fan-favored,False
John Schneider,27,8,3.7857142857142856,8.0,1.8469387755102038,1,7,2.9285714285714284,fan-favored,False
Juan Pablo Di Pace,27,5,1.4375,2.5,0.765625,0,8,-0.5625,neutral,False
Mary Lou Retton,27,9,3.25,6.5,2.0,0,6,-1.9166666666666667,judge-favored,False
Milo Manheim,27,2,3.2777777777777777,6.0,1.4382716049382713,0,9,-3.1666666666666665,judge-favored,False
Nancy McKeon,27,11,1.3333333333333333,2.0,0.8888888888888888,0,3,0.0,neutral,False
Tinashe,27,10,4.25,7.5,3.28125,0,4,-3.75,judge-favored,False
Ally Brooke,28,3,2.4545454545454546,5.5,1.1900826446280992,0,11,-0.45454545454545453,neutral,False
Hannah Brown,28,1,2.727272727272727,8.0,1.0909090909090908,0,11,-0.8181818181818182,neutral,False
James Van Der Beek,28,5,2.65,6.0,1.4899999999999998,1,10,-1.95,judge-favored,False
Karamo Brown,28,8,4.428571428571429,7.0,2.3367346938775504,0,7,2.5714285714285716,fan-favored,False
Kate Flannery,28,7,4.0625,6.5,1.8359375,0,8,-1.9375,judge-favored,False
Kel Mitchell,28,2,2.8636363636363638,6.0,1.2768595041322313,0,11,-1.1363636363636365,judge-favored,False
Lamar Odom,28,10,1.5,3.0,0.75,4,4,1.5,fan-favored,False
Lauren Alaina,28,4,2.3181818181818183,5.5,1.037190082644628,1,11,0.22727272727272727,neutral,False
Sailor Brinkley-Cook,28,9,3.1666666666666665,7.0,2.138888888888889,0,6,0.8333333333333334,neutral,False
Sean Spicer,28,6,3.4444444444444446,6.0,1.8765432098765433,5,9,3.4444444444444446,fan-favored,False
AJ McLean,29,7,2.8333333333333335,7.0,1.0925925925925926,0,9,1.2777777777777777,fan-favored,False
Anne Heche,29,13,2.75,4.0,1.625,1,4,-0.75,neutral,False
Carole Baskin,29,14,1.1666666666666667,3.0,0.4444444444444444,2,3,1.1666666666666667,fan-favored,False
Chrishell Stause,29,8,4.0625,9.5,2.2421875,1,8,3.0625,fan-favored,False
Jeannie Mai,29,9,3.0,6.5,2.122448979591837,1,7,1.5714285714285714,fan-favored,False
Jesse Metcalfe,29,12,3.4,6.0,1.6600000000000001,2,5,-1.0,neutral,False
Johnny Weir,29,6,3.75,11.5,1.8699999999999999,0,10,-3.75,judge-favored,False
Justina Machado,29,4,2.9545454545454546,9.0,1.3512396694214877,0,11,2.590909090909091,fan-favored,False
Kaitlyn Bristowe,29,1,2.8181818181818183,7.0,1.28099173553719,0,11,-1.0909090909090908,judge-favored,False
Monica Aldama,29,10,2.5714285714285716,10.5,1.1020408163265305,1,7,0.42857142857142855,neutral,False
