name,season,placement,avg_abs_gap,max_gap,weighted_gap,weeks_lowest_judge,total_weeks,mean_delta,controversy_type,is_specified,is_controversial
Kate Gosselin,10,8,3.6,6.0,2.4799999999999995,2,5,3.6,fan-favored,False,True
Nicole Scherzinger,10,1,4.45,9.0,1.955,0,10,-4.45,judge-favored,False,True
Niecy Nash,10,5,2.3125,5.5,1.2421875,2,8,1.5625,fan-favored,False,False
Pamela Anderson,10,6,2.7142857142857144,6.5,1.1224489795918366,0,7,-1.0,neutral,False,False
Shannen Doherty,10,11,3.25,4.5,2.75,0,2,-1.25,judge-favored,False,True
Audrina Patridge,11,7,2.9166666666666665,6.0,1.9027777777777777,0,6,-2.0833333333333335,judge-favored,False,False
Brandy,11,4,2.8333333333333335,6.0,1.617283950617284,0,9,-1.8333333333333333,judge-favored,False,False
Bristol Palin,11,3,3.2,6.5,1.515,5,10,2.7,fan-favored,True,False
Florence Henderson,11,8,3.0,4.5,1.52,0,5,-1.2,judge-favored,False,False
Jennifer Grey,11,1,1.8,6.0,0.595,0,10,-1.1,judge-favored,False,False
Kurt Warner,11,5,2.3125,5.0,1.2421875,1,8,0.9375,neutral,False,False
Kyle Massey,11,2,2.25,4.0,1.1300000000000001,0,10,-0.25,neutral,False,False
Margaret Cho,11,10,3.1666666666666665,5.5,1.8888888888888886,2,3,3.1666666666666665,fan-favored,False,False
Michael Bolton,11,11,1.0,1.0,0.75,1,2,0.0,neutral,False,False
Rick Fox,11,6,1.7857142857142858,2.5,1.1122448979591837,0,7,-0.21428571428571427,neutral,False,False
The Situation,11,9,2.75,6.5,1.40625,2,4,1.5,fan-favored,False,False
Chelsea Kane,12,3,1.85,5.5,0.66,0,10,0.35,neutral,False,False
Chris Jericho,12,7,1.5833333333333333,3.0,0.8194444444444443,1,6,-0.9166666666666666,neutral,False,False
Hines Ward,12,1,2.35,6.5,1.025,0,10,-1.65,judge-favored,False,False
Kendra Wilkinson,12,6,3.142857142857143,7.0,1.6326530612244898,2,7,2.2857142857142856,fan-favored,False,False
Kirstie Alley,12,2,1.45,4.0,0.635,2,10,0.65,neutral,False,False
Mike Catherwood,12,11,1.0,1.0,0.75,2,2,0.0,neutral,False,False
Petra Nemcova,12,8,2.9,7.5,1.64,1,5,-1.9,judge-favored,False,False
Ralph Macchio,12,4,2.888888888888889,6.0,1.2901234567901234,3,9,0.5555555555555556,neutral,False,False
Romeo,12,5,2.5,8.0,0.9296875,1,8,-2.0,judge-favored,False,False
Sugar Ray Leonard,12,9,1.875,4.5,1.21875,1,4,1.875,fan-favored,False,False
Wendy Williams,12,10,3.0,5.0,1.5555555555555556,2,3,3.0,fan-favored,False,False
Carson Kressley,13,8,2.2,5.5,0.86,2,5,2.2,fan-favored,False,False
Chaz Bono,13,7,2.4166666666666665,6.0,1.0138888888888888,3,6,1.5833333333333333,fan-favored,False,False
Chynna Phillips,13,9,5.375,9.5,2.6875,0,4,-5.375,judge-favored,False,True
David Arquette,13,6,1.7857142857142858,3.5,0.9591836734693876,0,7,-1.6428571428571428,judge-favored,False,False
Elisabetta Canalis,13,11,4.75,5.5,3.75,0,2,-0.75,neutral,False,True
Hope Solo,13,4,2.3333333333333335,7.0,1.0123456790123457,1,9,1.2222222222222223,fan-favored,False,False
J.R. Martinez,13,1,1.2,3.5,0.58,0,10,-0.9,neutral,False,False
Kristin Cavallari,13,10,4.0,4.5,2.7222222222222228,0,3,-4.0,judge-favored,False,True
Nancy Grace,13,5,3.5,6.5,1.5390625,2,8,2.75,fan-favored,False,False
Ricki Lake,13,3,2.15,6.0,0.845,1,10,-0.75,neutral,False,False
Rob Kardashian,13,2,1.85,4.0,0.8550000000000001,0,10,0.95,neutral,False,False
Donald Driver,14,1,2.35,8.0,1.085,1,10,-0.15,neutral,False,False
Gavin DeGraw,14,9,4.3,8.0,2.52,3,5,4.3,fan-favored,False,True
Gladys Knight,14,8,2.75,5.0,1.4305555555555556,3,6,2.75,fan-favored,False,False
Jack Wagner,14,11,3.0,5.5,2.0555555555555554,1,3,0.6666666666666666,neutral,False,True
Jaleel White,14,7,3.857142857142857,9.5,1.6938775510204083,0,7,-2.142857142857143,judge-favored,False,False
Katherine Jenkins,14,2,2.7,5.5,1.46,1,10,-1.5,judge-favored,False,False
Maria Menounos,14,4,2.6666666666666665,7.5,1.2345679012345678,0,9,-0.6666666666666666,neutral,False,False
Martina Navratilova,14,12,3.5,5.0,2.25,2,2,3.5,fan-favored,False,True
Melissa Gilbert,14,5,2.75,9.0,1.03125,4,8,2.5,fan-favored,False,False
Roshon Fegan,14,6,3.125,7.5,1.4375,0,8,-2.0,judge-favored,False,False
Sherri Sheperd,14,10,2.125,3.0,1.21875,1,4,-0.625,neutral,False,False
William Levy,14,3,2.7,8.5,1.0,1,10,-1.1,judge-favored,False,False
Apolo Anton Ohno,15,5,2.2777777777777777,4.5,1.3024691358024691,0,9,-0.16666666666666666,neutral,False,False
Bristol Palin,15,9,5.5,11.0,3.0,2,4,5.0,fan-favored,False,True
Drew Lachey,15,11,1.5,3.0,0.7222222222222222,0,3,-0.8333333333333334,neutral,False,False
Emmitt Smith,15,4,2.0,5.0,0.9259259259259258,2,9,0.2222222222222222,neutral,False,False
Gilles Marini,15,6,2.5625,7.0,1.28125,0,8,-0.9375,neutral,False,False
Helio Castroneves,15,10,5.5,6.0,3.611111111111111,0,3,-5.5,judge-favored,False,True
Joey Fatone,15,12,3.0,4.0,2.5,0,2,-1.0,neutral,False,True
Kelly Monaco,15,3,2.65,7.0,1.205,1,10,1.95,fan-favored,False,False
Kirstie Alley,15,7,1.375,3.5,0.6171875,3,8,1.0,neutral,False,False
Melissa Rycroft,15,1,2.3,8.0,1.0,0,10,-0.5,neutral,False,False
Sabrina Bryan,15,8,2.8333333333333335,6.5,1.986111111111111,0,6,-2.5,judge-favored,False,True
Shawn Johnson,15,2,2.25,6.0,1.06,1,10,-0.05,neutral,False,False
Alexandra Raisman,16,4,3.7,9.0,1.6099999999999999,0,10,-3.4,judge-favored,False,False
Andy Dick,16,7,3.4285714285714284,5.0,1.7040816326530612,2,7,2.4285714285714284,fan-favored,False,False
D. L. Hughley,16,9,2.0,3.0,0.9,2,5,1.6,fan-favored,False,False
Dorothy Hamill,16,12,6.0,11.0,5.75,1,2,6.0,fan-favored,False,True
Ingo Rademacher,16,5,2.388888888888889,5.5,0.9506172839506173,1,9,-0.9444444444444444,neutral,False,False
Jacoby Jones,16,3,1.65,3.0,1.035,1,10,0.85,neutral,False,False
Kellie Pickler,16,1,1.55,2.5,0.8400000000000001,0,10,-0.25,neutral,False,False
Lisa Vanderpump,16,10,1.875,3.0,1.0625,1,4,0.875,neutral,False,False
Sean Lowe,16,6,2.3125,5.0,1.046875,1,8,-0.8125,neutral,False,False
Victor Ortiz,16,8,3.9166666666666665,6.5,2.138888888888889,2,6,3.9166666666666665,fan-favored,False,True
Wynonna Judd,16,11,2.0,3.0,1.5555555555555554,1,3,1.3333333333333333,fan-favored,False,False
Zendaya,16,2,3.2,7.5,1.455,0,10,-2.5,judge-favored,False,False
Amber Riley,17,1,2.227272727272727,6.0,1.1074380165289257,0,11,-0.9545454545454546,neutral,False,False
Bill Engvall,17,4,3.3181818181818183,7.0,1.7520661157024795,6,11,3.3181818181818183,fan-favored,False,False
Bill Nye,17,11,3.5,8.0,1.5,3,3,3.1666666666666665,fan-favored,False,False
Brant Daugherty,17,7,3.3125,7.5,1.484375,0,8,1.8125,fan-favored,False,False
Christina Milian,17,9,4.9,7.5,2.98,0,5,-4.9,judge-favored,False,True
Corbin Bleu,17,2,2.5,5.5,1.3553719008264464,0,11,-2.5,judge-favored,False,False
Elizabeth Berkley Lauren,17,6,3.2777777777777777,8.5,1.3209876543209877,0,9,-2.1666666666666665,judge-favored,False,False
Jack Osbourne,17,3,1.5909090909090908,5.0,0.7479338842975206,0,11,0.8636363636363636,neutral,False,False
Keyshawn Johnson,17,12,1.5,2.0,1.0,0,2,0.5,neutral,False,False
Leah Remini,17,5,1.8,6.0,0.8699999999999999,1,10,0.4,neutral,False,False
"Nicole ""Snooki"" Polizzi",17,8,3.5714285714285716,6.5,1.7653061224489794,0,7,-1.7142857142857142,judge-favored,False,False
Valerie Harper,17,10,4.75,9.0,2.3125,2,4,4.75,fan-favored,False,True
Amy Purdy,18,2,1.9,6.0,1.0399999999999998,0,10,-1.6,judge-favored,False,False
Billy Dee Williams,18,10,8.0,10.0,5.5,2,2,8.0,fan-favored,False,True
Candace Cameron Bure,18,3,4.0,7.5,2.0,5,10,3.0,fan-favored,False,True
Charlie White,18,5,2.4444444444444446,7.0,1.1419753086419753,0,9,-0.2222222222222222,neutral,False,False
Cody Simpson,18,9,1.2,3.0,0.64,0,5,0.0,neutral,False,False
Danica McKellar,18,6,2.625,6.0,1.0234375,0,8,-2.0,judge-favored,False,False
Drew Carey,18,8,1.0833333333333333,2.5,0.6944444444444445,3,6,-0.25,neutral,False,False
James Maslow,18,4,2.4,4.5,0.99,1,10,-1.0,neutral,False,False
Meryl Davis,18,1,2.55,7.0,1.125,1,10,-1.85,judge-favored,False,False
NeNe Leakes,18,7,2.642857142857143,5.0,1.0918367346938775,1,7,1.7857142857142858,fan-favored,False,False
Sean Avery,18,11,5.75,9.0,3.5,0,2,3.25,fan-favored,False,True
Alfonso Ribeiro,19,1,2.727272727272727,10.0,0.7851239669421486,0,11,-1.6363636363636365,judge-favored,False,False
Antonio Sabato Jr.,19,8,1.7857142857142858,6.5,0.6326530612244898,1,7,0.35714285714285715,neutral,False,False
Bethany Mota,19,4,2.727272727272727,6.5,1.0330578512396693,1,11,-1.6363636363636365,judge-favored,False,False
Betsey Johnson,19,10,4.375,8.0,2.03125,1,4,2.875,fan-favored,False,True
Janel Parrish,19,3,1.7727272727272727,4.0,0.6983471074380166,0,11,-1.0454545454545454,judge-favored,False,False
Jonathan Bennett,19,9,3.4166666666666665,6.0,2.0555555555555554,1,6,0.5833333333333334,neutral,False,True
Lea Thompson,19,6,2.1666666666666665,4.5,1.0493827160493825,0,9,-0.6111111111111112,neutral,False,False
Michael Waltrip,19,7,4.3125,9.0,2.0859375,4,8,4.3125,fan-favored,False,True
Randy Couture,19,11,1.5,3.0,0.7777777777777777,1,3,1.1666666666666667,fan-favored,False,False
Sadie Robertson,19,2,2.590909090909091,7.0,1.0495867768595042,0,11,-2.0454545454545454,judge-favored,False,False
Tavis Smiley,19,12,3.5,4.5,2.375,0,2,-3.5,judge-favored,False,True
Tommy Chong,19,5,3.2,8.0,1.2,3,10,2.8,fan-favored,False,False
Charlotte McKinney,20,11,3.3333333333333335,9.0,2.2222222222222223,2,3,3.0,fan-favored,False,True
Chris Soules,20,5,4.0,9.0,1.765625,3,8,3.75,fan-favored,False,False
Michael Sam,20,10,3.25,5.0,2.0,0,4,0.0,neutral,False,True
Nastia Liukin,20,4,3.5555555555555554,10.0,1.425925925925926,0,9,-3.111111111111111,judge-favored,False,False
Noah Galloway,20,3,2.1,6.0,0.985,2,10,1.0,neutral,False,False
Patti LaBelle,20,8,2.25,4.5,1.3888888888888886,1,6,0.75,neutral,False,False
Redfoo,20,12,8.25,9.5,5.875,1,2,1.25,fan-favored,False,True
Riker Lynch,20,2,2.5,6.0,1.0599999999999998,0,10,-2.1,judge-favored,False,False
Robert Herjavec,20,6,1.8125,4.0,1.2734375,4,8,1.5625,fan-favored,False,False
Rumer Willis,20,1,3.5,6.0,1.4150000000000003,0,10,-1.7,judge-favored,False,False
Suzanne Somers,20,9,2.4,3.5,1.58,0,5,0.0,neutral,False,False
Willow Shields,20,7,3.2142857142857144,8.0,1.7551020408163267,0,7,-0.35714285714285715,neutral,False,False
Alek Skarlatos,21,3,3.772727272727273,6.5,1.6983471074380168,2,11,0.4090909090909091,neutral,False,False
Alexa PenaVega,21,6,2.5555555555555554,4.5,1.4506172839506173,0,9,0.1111111111111111,neutral,False,False
Andy Grammer,21,7,1.1875,4.0,0.7265625,1,8,0.4375,neutral,False,False
Bindi Irwin,21,1,3.727272727272727,11.0,1.3636363636363635,0,11,-3.1818181818181817,judge-favored,False,False
Carlos PenaVega,21,4,3.3181818181818183,9.5,1.3181818181818181,0,11,-2.590909090909091,judge-favored,False,False
Chaka Khan,21,13,5.0,7.0,4.25,1,2,5.0,fan-favored,False,True
Gary Busey,21,10,2.0,5.0,1.0625,1,4,1.5,fan-favored,False,False
Hayes Grier,21,8,3.5714285714285716,6.5,1.9489795918367345,0,7,1.2857142857142858,fan-favored,False,True
Kim Zolciak-Biermann,21,11,5.5,10.0,3.0,1,2,5.5,fan-favored,False,True
Nick Carter,21,2,3.272727272727273,7.5,1.384297520661157,1,11,-0.5454545454545454,neutral,False,False
Paula Deen,21,9,4.333333333333333,5.0,2.555555555555556,3,6,4.333333333333333,fan-favored,False,True
Tamar Braxton,21,5,1.8333333333333333,6.0,1.1728395061728394,1,9,0.2777777777777778,neutral,False,False
Victor Espinoza,21,12,2.0,2.0,1.5,0,2,-2.0,judge-favored,False,False
Antonio Brown,22,5,1.8333333333333333,4.0,1.0185185185185186,2,9,1.7222222222222223,fan-favored,False,False
Doug Flutie,22,9,4.5,10.0,2.263888888888889,2,6,4.5,fan-favored,False,True
Geraldo Rivera,22,12,1.5,2.0,1.0,2,2,1.5,fan-favored,False,False
Ginger Zee,22,3,2.9,6.5,1.515,1,10,-0.7,neutral,False,False
Jodie Sweetin,22,6,4.8125,8.5,2.484375,1,8,-0.6875,neutral,False,True
Kim Fields,22,8,2.7142857142857144,6.5,1.2857142857142858,0,7,0.7142857142857143,neutral,False,False
Marla Maples,22,10,2.625,4.5,1.5,0,4,0.375,neutral,False,False
Mischa Barton,22,11,8.333333333333334,10.0,5.4444444444444455,1,3,8.333333333333334,fan-favored,False,True
Nyle DiMarco,22,1,2.0,5.0,0.9400000000000001,0,10,-1.1,judge-favored,False,False
Paige VanZant,22,2,3.0,7.5,1.19,0,10,-2.2,judge-favored,False,False
Von Miller,22,7,1.9285714285714286,7.0,1.0510204081632653,0,7,0.07142857142857142,neutral,False,False
Wanya Morris,22,4,3.7777777777777777,8.0,1.7901234567901234,1,9,-3.5555555555555554,judge-favored,False,False
Amber Rose,23,9,1.25,2.5,0.6666666666666666,2,6,0.75,neutral,False,False
Babyface,23,11,4.875,8.0,3.53125,1,4,1.625,fan-favored,False,True
Calvin Johnson Jr.,23,3,2.409090909090909,7.0,0.9710743801652892,2,11,-0.8636363636363636,neutral,False,False
Jake T. Austin,23,13,4.75,8.5,2.625,0,2,3.75,fan-favored,False,True
James Hinchcliffe,23,2,2.272727272727273,4.5,1.2603305785123966,1,11,-1.4545454545454546,judge-favored,False,False
Jana Kramer,23,4,2.3636363636363638,6.0,1.0743801652892562,1,11,0.18181818181818182,neutral,False,False
Laurie Hernandez,23,1,2.090909090909091,6.0,0.7272727272727273,0,11,-1.4545454545454546,judge-favored,False,False
Marilu Henner,23,6,3.0,8.5,1.1234567901234567,3,9,-1.6666666666666667,judge-favored,False,False
Maureen McCormick,23,8,2.857142857142857,6.5,1.836734693877551,1,7,2.0,fan-favored,False,False
Rick Perry,23,12,4.166666666666667,8.0,2.611111111111111,3,3,4.166666666666667,fan-favored,False,True
Ryan Lochte,23,7,2.875,5.5,1.5859375,1,8,0.75,neutral,False,False
Terra Jole,23,5,2.4,6.0,1.23,0,10,-1.1,judge-favored,False,False
Vanilla Ice,23,10,3.625,5.5,1.9375,1,4,3.625,fan-favored,False,True
Bonner Bolton,24,5,4.9375,9.0,2.328125,3,8,4.9375,fan-favored,False,True
Charo,24,11,1.8333333333333333,2.5,1.1111111111111112,1,3,-0.16666666666666666,neutral,False,False
Chris Kattan,24,12,0.75,1.0,0.5,2,2,0.25,neutral,False,False
David Ross,24,2,2.6,5.0,1.55,3,10,1.4,fan-favored,False,False
Erika Jayne,24,9,2.8,6.5,1.34,0,5,1.0,neutral,False,False
Heather Morris,24,8,4.0,7.0,2.694444444444444,0,6,-4.0,judge-favored,False,True
Mr. T,24,10,0.875,2.0,0.375,3,4,0.875,neutral,False,False
Nancy Kerrigan,24,7,2.2142857142857144,4.5,1.2959183673469385,0,7,-1.3571428571428572,judge-favored,False,False
Nick Viall,24,6,3.7857142857142856,7.5,1.8877551020408163,1,7,2.7857142857142856,fan-favored,False,False
Normani,24,3,1.5,3.5,0.74,0,10,-0.4,neutral,False,False
Rashad Jennings,24,1,2.45,4.5,1.18,0,10,-1.35,judge-favored,False,False
Simone Biles,24,4,3.388888888888889,6.0,1.3641975308641974,0,9,-3.388888888888889,judge-favored,False,False
Barbara Corcoran,25,13,1.0,1.0,0.75,2,2,1.0,neutral,False,False
Debbie Gibson,25,12,4.25,5.5,3.5,0,2,-4.25,judge-favored,False,True
Derek Fisher,25,11,4.625,7.5,2.1875,0,4,2.625,fan-favored,False,True
Drew Scott,25,4,3.05,5.5,1.565,3,10,1.75,fan-favored,False,False
Frankie Muniz,25,3,2.6,7.5,1.135,0,10,-0.5,neutral,False,False
Jordan Fisher,25,1,3.1,8.5,1.2700000000000002,0,10,-2.4,judge-favored,False,False
Lindsey Stirling,25,2,3.45,7.0,1.7850000000000001,0,10,-3.45,judge-favored,False,False
Nick Lachey,25,9,4.083333333333333,9.0,2.2222222222222223,3,6,4.083333333333333,fan-favored,False,True
Nikki Bella,25,8,2.142857142857143,4.5,1.2755102040816326,1,7,-0.2857142857142857,neutral,False,False
Sasha Pieterse,25,10,1.9,2.5,1.1800000000000002,1,5,-0.1,neutral,False,False
Terrell Owens,25,6,4.4375,9.0,1.8359375,0,8,3.1875,fan-favored,False,False
Vanessa Lachey,25,7,4.214285714285714,6.5,2.377551020408163,0,7,0.5,neutral,False,True
Victoria Arlen,25,5,2.7777777777777777,7.0,1.4753086419753088,0,9,-1.0,neutral,False,False
