name,season,controversy_type,weighted_gap,is_specified,placement_rank,placement_percent,placement_save,delta_percent,delta_save,weeks,fan_top10_rate,fan_bot10_rate,fan_max,fan_min
Bristol Palin,15,fan-favored,3.0,False,10,10,10,0,0,,,,,
Helio Castroneves,15,judge-favored,3.611111111111111,False,1,1,1,0,0,,,,,
Joey Fatone,15,neutral,2.5,False,2,12,2,10,0,,,,,
Sabrina Bryan,15,judge-favored,1.986111111111111,False,4,8,3,4,-1,,,,,
Dorothy Hamill,16,fan-favored,5.75,False,2,1,2,-1,0,,,,,
Victor Ortiz,16,fan-favored,2.138888888888889,False,7,7,7,0,0,,,,,
Christina Milian,17,judge-favored,2.98,False,2,12,2,10,0,,,,,
Valerie Harper,17,fan-favored,2.3125,False,10,9,10,-1,0,,,,,
Billy Dee Williams,18,fan-favored,5.5,False,3,2,3,-1,0,,,,,
Candace Cameron Bure,18,fan-favored,2.0,False,8,8,8,0,0,,,,,
Sean Avery,18,fan-favored,3.5,False,11,11,11,0,0,,,,,
Betsey Johnson,19,fan-favored,2.03125,False,10,10,10,0,0,,,,,
Jonathan Bennett,19,neutral,2.055555555555556,False,9,9,9,0,0,,,,,
Michael Waltrip,19,fan-favored,2.0859375,False,7,7,12,0,5,,,,,
Tavis Smiley,19,judge-favored,2.375,False,12,12,2,0,-10,,,,,
Charlotte McKinney,20,fan-favored,2.2222222222222223,False,12,12,12,0,0,,,,,
Michael Sam,20,neutral,2.0,False,9,9,9,0,0,,,,,
Redfoo,20,fan-favored,5.875,False,1,11,2,10,1,,,,,
Chaka Khan,21,fan-favored,4.25,False,2,12,3,10,1,,,,,
Hayes Grier,21,fan-favored,1.9489795918367343,False,8,7,8,-1,0,,,,,
Kim Zolciak-Biermann,21,fan-favored,3.0,False,12,1,1,-11,-11,,,,,
Paula Deen,21,fan-favored,2.555555555555556,False,10,8,11,-2,1,,,,,
Doug Flutie,22,fan-favored,2.263888888888889,False,10,7,7,-3,-3,,,,,
Jodie Sweetin,22,neutral,2.484375,False,6,12,6,6,0,,,,,
Mischa Barton,22,fan-favored,5.4444444444444455,False,2,10,10,8,8,,,,,
Babyface,23,fan-favored,3.53125,False,10,10,10,0,0,,,,,
Jake T. Austin,23,fan-favored,2.625,False,12,12,12,0,0,,,,,
Rick Perry,23,fan-favored,2.611111111111111,False,13,11,13,-2,0,,,,,
Vanilla Ice,23,fan-favored,1.9375,False,2,1,2,-1,0,,,,,
Bonner Bolton,24,fan-favored,2.328125,False,5,5,6,0,1,,,,,
Heather Morris,24,judge-favored,2.694444444444444,False,2,7,3,5,1,,,,,
Debbie Gibson,25,judge-favored,3.5,False,3,13,4,10,1,,,,,
Derek Fisher,25,fan-favored,2.1875,False,10,11,10,1,0,,,,,
Nick Lachey,25,fan-favored,2.2222222222222223,False,12,8,12,-4,0,,,,,
Vanessa Lachey,25,neutral,2.377551020408163,False,1,1,1,0,0,,,,,
Arike Ogunbowale,26,judge-favored,2.75,False,2,9,2,7,0,,,,,
Bobby Bones,27,fan-favored,1.3641975308641976,True,10,6,10,-4,0,,,,,
Danelle Umstead,27,fan-favored,2.25,False,12,12,3,0,-9,,,,,
Joe Amabile,27,fan-favored,2.109375,False,9,9,12,0,3,,,,,
Mary Lou Retton,27,judge-favored,2.0,False,1,8,8,7,7,,,,,
Tinashe,27,judge-favored,3.28125,False,4,10,4,6,0,,,,,
Karamo Brown,28,fan-favored,2.3367346938775504,False,6,6,6,0,0,7.0,0.42857142857142855,0.0,0.1879464370405507,0.0478332658985385
Mary Wilson,28,judge-favored,2.125,False,11,11,11,0,0,2.0,0.0,0.5,0.0508579233499418,0.0366241116782737
Ray Lewis,28,fan-favored,2.375,False,1,1,1,0,0,2.0,0.0,0.0,0.0874900086789685,0.0812660520446452
Sailor Brinkley-Cook,28,neutral,2.138888888888889,False,3,7,3,4,0,6.0,0.3333333333333333,0.0,0.1526858146907333,0.0897919454025139
Chrishell Stause,29,fan-favored,2.2421875,False,8,8,8,0,0,8.0,0.25,0.0,0.104548633775521,0.06566832753551
Jeannie Mai,29,fan-favored,2.122448979591837,False,2,2,11,0,9,7.0,0.0,0.0,0.1091085674208959,0.0613518354845246
Nelly,29,fan-favored,2.004132231404959,False,13,5,6,-8,-7,11.0,0.09090909090909091,0.0,0.2381727608456376,0.0640679300635379
Nev Schulman,29,judge-favored,2.322314049586777,False,5,6,5,1,0,11.0,0.0,0.09090909090909091,0.2005824056658823,0.0647793150074748
Brian Austin Green,30,fan-favored,3.8125,False,12,12,12,0,0,4.0,0.25,0.0,0.0896638763964614,0.0548293265165308
Christine Chiu,30,judge-favored,2.722222222222222,False,13,4,13,-9,0,3.0,0.0,0.0,0.0654247592920735,0.0268535086621978
Melanie C,30,judge-favored,2.26,False,11,11,5,0,-6,5.0,0.0,0.2,0.0859554083849632,0.0600526702056501
"Mike ""The Miz"" Mizanin",30,neutral,1.9285714285714284,False,9,13,9,4,0,7.0,0.0,0.14285714285714285,0.0991291060212437,0.0063251680319023
Olivia Jade,30,judge-favored,2.1328125,False,3,8,3,5,0,8.0,0.0,0.0,0.1086996815659722,0.0577620391641952
Cheryl Ladd,31,fan-favored,2.1666666666666665,False,14,14,15,0,1,3.0,0.0,0.3333333333333333,0.0701352472502197,0.0505851138123506
Jessie James Decker,31,fan-favored,2.708333333333333,False,11,2,11,-9,0,6.0,0.3333333333333333,0.0,0.0970913607601292,0.0702695438920055
Selma Blair,31,judge-favored,3.16,False,4,12,4,8,0,5.0,0.0,0.2,0.0664282732049302,0.0549282474690877
Teresa Giudice,31,fan-favored,2.75,False,15,15,5,0,-10,2.0,0.5,0.0,0.0797751924760797,0.0546270265723064
Vinny Guadagnino,31,fan-favored,2.546875,False,5,11,10,6,5,8.0,0.125,0.0,0.1151194112472568,0.0685448658743702
Adrian Peterson,32,fan-favored,3.09375,False,1,1,1,0,0,4.0,0.5,0.0,0.110560903311883,0.0779733559456213
Jamie Lynn Spears,32,judge-favored,2.625,False,13,13,3,0,-10,2.0,0.0,0.5,0.0608881041732843,0.0464243977038982
Tyson Beckford,32,fan-favored,2.111111111111111,False,12,12,12,0,0,3.0,0.0,0.0,0.0712616536430373,0.0488271032225428
Brooks Nader,33,fan-favored,2.125,False,10,10,10,0,0,4.0,0.5,0.0,0.1356222635885154,0.087094954415586
Jenn Tran,33,fan-favored,2.069444444444444,False,3,3,3,0,0,6.0,0.3333333333333333,0.0,0.2371406485675994,0.0858402714547148
Reginald VelJohnson,33,fan-favored,2.555555555555556,False,11,11,11,0,0,3.0,0.0,0.0,0.0905786067961433,0.0729457039535354
Tori Spelling,33,neutral,2.25,False,12,12,1,0,-11,2.0,0.0,0.5,0.0423514866692952,0.0297051577240315
Andy Richter,34,fan-favored,2.135802469135802,False,14,14,14,0,0,9.0,0.1111111111111111,0.0,0.152138882685186,0.0035526391184281
Corey Feldman,34,fan-favored,3.625,False,1,13,13,12,12,2.0,0.0,0.0,0.0815341779438608,0.0565167670260849
Danielle Fishel,34,fan-favored,2.03125,False,8,8,8,0,0,8.0,0.25,0.0,0.1405773298440106,0.0882116737741774
Hilaria Baldwin,34,judge-favored,2.4375,False,11,11,2,0,-9,4.0,0.25,0.25,0.1501078004487374,0.0609365376703977
Lauren Jauregui,34,judge-favored,2.333333333333333,False,12,12,12,0,0,3.0,0.0,0.3333333333333333,0.0685706242415365,0.0339007406698107
Whitney Leavitt,34,judge-favored,2.4400000000000004,False,3,5,5,2,2,10.0,0.1,0.1,0.1293224463854955,0.0538424984300709
