season,method,celebrity_name,final_placement
33,SAVE,Tori Spelling,4
34,SAVE,Alix Earle,1
34,SAVE,Baron Davis,2
34,SAVE,Hilaria Baldwin,3
34,SAVE,Robert Irwin,4
1,TWO_KEY,Joey McIntyre,1
1,TWO_KEY,Rachel Hunter,2
1,TWO_KEY,Trista Sutter,3
2,TWO_KEY,Drew Lachey,1
2,TWO_KEY,Giselle Fernandez,2
2,TWO_KEY,Kenny Mayne,3
2,TWO_KEY,Lisa Rinna,4
2,TWO_KEY,Stacy Keibler,5
2,TWO_KEY,Tia Carrere,6
28,TWO_KEY,Ally Brooke,1
28,TWO_KEY,Kel Mitchell,2
28,TWO_KEY,Lauren Alaina,3
28,TWO_KEY,Mary Wilson,4
28,TWO_KEY,Ray Lewis,5
28,TWO_KEY,Sailor Brinkley-Cook,6
29,TWO_KEY,AJ McLean,1
29,TWO_KEY,Anne Heche,2
29,TWO_KEY,Charles Oakley,3
29,TWO_KEY,Jeannie Mai,4
29,TWO_KEY,Johnny Weir,5
29,TWO_KEY,Justina Machado,6
29,TWO_KEY,Kaitlyn Bristowe,7
29,TWO_KEY,Nev Schulman,8
30,TWO_KEY,Amanda Kloots,1
30,TWO_KEY,Christine Chiu,2
30,TWO_KEY,JoJo Siwa,3
30,TWO_KEY,Matt James,4
30,TWO_KEY,Melanie C,5
30,TWO_KEY,Melora Hardin,6
30,TWO_KEY,Olivia Jade,7
30,TWO_KEY,Suni Lee,8
31,TWO_KEY,Charli D'Amelio,1
31,TWO_KEY,Cheryl Ladd,2
31,TWO_KEY,Gabby Windey,3
31,TWO_KEY,Heidi D'Amelio,4
31,TWO_KEY,Selma Blair,5
31,TWO_KEY,Wayne Brady,6
32,TWO_KEY,Adrian Peterson,1
32,TWO_KEY,Ariana Madix,2
32,TWO_KEY,Charity Lawson,3
32,TWO_KEY,Jamie Lynn Spears,4
32,TWO_KEY,Lele Pons,5
32,TWO_KEY,Mira Sorvino,6
32,TWO_KEY,Xochitl Gomez,7
33,TWO_KEY,Anna Delvey,1
33,TWO_KEY,Brooks Nader,2
33,TWO_KEY,Chandler Kinney,3
33,TWO_KEY,Eric Roberts,4
33,TWO_KEY,Jenn Tran,5
33,TWO_KEY,Joey Graziadei,6
33,TWO_KEY,Phaedra Parks,7
34,TWO_KEY,Alix Earle,1
34,TWO_KEY,Baron Davis,2
34,TWO_KEY,Danielle Fishel,3
34,TWO_KEY,Hilaria Baldwin,4
34,TWO_KEY,Jen Affleck,5
34,TWO_KEY,Jordan Chiles,6
34,TWO_KEY,Lauren Jauregui,7
34,TWO_KEY,Robert Irwin,8
34,TWO_KEY,Scott Hoying,9
34,TWO_KEY,Whitney Leavitt,10
