season,week,n_contestants,bottom_3,saved,eliminated
31,3,14,"Cheryl Ladd,Gabby Windey,Daniel Durant",Cheryl Ladd,Daniel Durant
31,4,12,"Sam Champion,Gabby Windey,Wayne Brady",Wayne Brady,Sam Champion
31,5,11,"Joseph Baena,Gabby Windey,Daniel Durant",Daniel Durant,Joseph Baena
31,6,9,"Jessie James Decker,Trevor Donovan,Heidi D'Amelio",Heidi D'Amelio,Jessie James Decker
31,7,8,"Jordin Sparks,Wayne Brady,Shangela",Shangela,Jordin Sparks
31,8,7,"Vinny Guadagnino,Heidi D'Amelio,Trevor Donovan",Trevor Donovan,Vinny Guadagnino
31,9,5,"Trevor Donovan,Daniel Durant,Wayne Brady",Daniel Durant,Trevor Donovan
31,10,4,"Wayne Brady,Shangela,Charli D'Amelio",Wayne Brady,Shangela
32,1,14,"Matt Walsh,Jason Mraz,Harry Jowsey",Jason Mraz,Matt Walsh
32,2,13,"Barry Williams,Adrian Peterson,Mauricio Umansky",Adrian Peterson,Mauricio Umansky
32,3,11,"Mauricio Umansky,Tyson Beckford,Charity Lawson",Mauricio Umansky,Tyson Beckford
32,4,10,"Mauricio Umansky,Barry Williams,Alyson Hannigan",Alyson Hannigan,Barry Williams
32,5,8,"Mira Sorvino,Harry Jowsey,Charity Lawson",Charity Lawson,Harry Jowsey
32,6,6,"Barry Williams,Harry Jowsey,Alyson Hannigan",Barry Williams,Harry Jowsey
32,7,6,"Harry Jowsey,Lele Pons,Xochitl Gomez",Lele Pons,Harry Jowsey
32,8,5,"Barry Williams,Jason Mraz,Xochitl Gomez",Xochitl Gomez,Jason Mraz
32,9,4,"Alyson Hannigan,Harry Jowsey,Xochitl Gomez",Xochitl Gomez,Harry Jowsey
32,10,4,"Alyson Hannigan,Jason Mraz,Charity Lawson",Jason Mraz,Alyson Hannigan
32,11,3,"Alyson Hannigan,Xochitl Gomez,Charity Lawson",Charity Lawson,Alyson Hannigan
33,1,13,"Tori Spelling,Eric Roberts,Chandler Kinney",Tori Spelling,Eric Roberts
33,2,12,"Anna Delvey,Chandler Kinney,Reginald VelJohnson",Chandler Kinney,Reginald VelJohnson
33,3,9,"Reginald VelJohnson,Eric Roberts,Joey Graziadei",Joey Graziadei,Reginald VelJohnson
33,4,9,"Ilona Maher,Dwight Howard ,Chandler Kinney",Dwight Howard ,Ilona Maher
33,5,7,"Phaedra Parks,Dwight Howard ,Joey Graziadei",Phaedra Parks,Dwight Howard 
33,6,5,"Stephen Nedoroscik,Joey Graziadei,Ilona Maher",Joey Graziadei,Ilona Maher
33,7,4,"Dwight Howard ,Chandler Kinney,Danny Amendola",Danny Amendola,Dwight Howard 
33,8,4,"Stephen Nedoroscik,Ilona Maher,Joey Graziadei",Joey Graziadei,Stephen Nedoroscik
33,9,3,"Ilona Maher,Chandler Kinney,Danny Amendola",Chandler Kinney,Danny Amendola
34,1,14,"Baron Davis,Andy Richter,Alix Earle",Alix Earle,Andy Richter
34,2,13,"Baron Davis,Corey Feldman,Elaine Hendrix",Elaine Hendrix,Corey Feldman
34,3,11,"Andy Richter,Jen Affleck,Lauren Jauregui",Andy Richter,Lauren Jauregui
34,4,10,"Andy Richter,Hilaria Baldwin,Danielle Fishel",Danielle Fishel,Andy Richter
34,5,9,"Jen Affleck,Alix Earle,Andy Richter",Alix Earle,Andy Richter
34,6,9,"Scott Hoying,Jordan Chiles,Whitney Leavitt",Whitney Leavitt,Scott Hoying
34,7,8,"Jen Affleck,Elaine Hendrix,Dylan Efron",Dylan Efron,Elaine Hendrix
34,8,6,"Danielle Fishel,Andy Richter,Elaine Hendrix",Elaine Hendrix,Andy Richter
34,9,5,"Elaine Hendrix,Andy Richter,Jordan Chiles",Elaine Hendrix,Andy Richter
34,10,5,"Elaine Hendrix,Dylan Efron,Whitney Leavitt",Whitney Leavitt,Dylan Efron
34,11,3,"Dylan Efron,Elaine Hendrix,Alix Earle",Alix Earle,Elaine Hendrix
